Harris County,Houston,2020-11-17,18,1,0
Germany,Houston,2020-11-17,18,2,186217
Mardi Gras,Houston,2020-11-17,18,3,0
Spain,Houston,2020-11-17,18,4,85747
Damn Twitter,Houston,2020-11-17,18,5,197000
"Becky",Houston,2020-11-17,18,6,16208
Did Twitter,Houston,2020-11-17,18,7,346130
#tuesdaymotivations,Houston,2020-11-17,18,8,41188
#holditdown,Houston,2020-11-17,18,9,0
#LifeGoesOn,Houston,2020-11-17,18,10,734685
Tillman,Houston,2020-11-17,18,11,0
Happy Founders,Houston,2020-11-17,18,12,12816
Chris Krebs,Houston,2020-11-17,18,13,58579
Fleet,Houston,2020-11-17,18,14,224890
Wayne County,Houston,2020-11-17,18,15,65528
Snapchat,Houston,2020-11-17,18,16,184209
John Wall,Houston,2020-11-17,18,17,12872
Charlie Kirk,Houston,2020-11-17,18,18,10315
Rudy,Houston,2020-11-17,18,19,158344
Ivy Park,Houston,2020-11-17,18,20,18058
#ARIAsHarryStyles,Houston,2020-11-17,18,21,307240
Ecuador,Houston,2020-11-17,18,22,137749
MySpace,Houston,2020-11-17,18,23,32898
karl marx,Houston,2020-11-17,18,24,11829
Anthony,Houston,2020-11-17,18,25,68919
Chuck Grassley,Houston,2020-11-17,18,26,24739
Beal,Houston,2020-11-17,18,27,0
Hayward,Houston,2020-11-17,18,28,13448
Monica Palmer,Houston,2020-11-17,18,29,0
#cashapptrivia,Houston,2020-11-17,18,30,0
Kemba,Houston,2020-11-17,18,31,0
Wizards,Houston,2020-11-17,18,32,20038
Dolly Parton,Houston,2020-11-17,18,33,105826
Canelo,Houston,2020-11-17,18,34,17461
Celtics,Houston,2020-11-17,18,35,23513
Queiroz,Houston,2020-11-17,18,36,60136
Stories,Houston,2020-11-17,18,37,783460
John Collins,Houston,2020-11-17,18,38,10899
Pennsylvania Supreme Court,Houston,2020-11-17,18,39,35875
Cienfuegos,Houston,2020-11-17,18,40,25862
So Twitter,Houston,2020-11-17,18,41,661747
PA Supreme Court,Houston,2020-11-17,18,42,30789
Tatum,Houston,2020-11-17,18,43,0
Kevin Hart,Houston,2020-11-17,18,44,0
DAZN,Houston,2020-11-17,18,45,0
Taco Tuesday,Houston,2020-11-17,18,46,0
Charlie Brown,Houston,2020-11-17,18,47,0
Afghanistan,Houston,2020-11-17,18,48,112616
Wtf Twitter,Houston,2020-11-17,18,49,163176
Move to Canada,Houston,2020-11-17,18,50,0
