Trend_Name, Average_rank_while_trending
Harris County, 1.0
Germany, 2.0
Insta, 3.0
My Twitter, 4.0
Mardi Gras, 5.0
Cruz, 6.0
Did Twitter, 7.0
Spain, 7.5
Jerry, 8.0
Damn Twitter, 8.5
"#holditdown", 9.0
Edit, 9.0
Becky, 9.5
LinkedIn, 10.0
"#tuesdaymotivations", 12.0
Happy Founders, 12.0
"#LifeGoesOn", 13.5
Carol, 14.0
Tillman, 14.5
Iraq, 15.0
Chris Krebs, 16.5
Wayne County, 18.0
Fleet, 19.0
Bennett, 19.0
Snapchat, 20.5
"#ARIAsHarryStyles", 21.0
John Wall, 21.5
"#twug", 22.0
Chasen, 23.0
Charlie Kirk, 23.0
Rudy, 25.5
Ivy Park, 26.5
"#TheBacheloretteABC", 27.0
Wtf Twitter, 27.0
MySpace, 28.5
"#Ask2Chainz", 29.0
Ecuador, 29.0
Monica Palmer, 29.5
karl marx, 29.5
"#cashapptrivia", 30.0
Harvard, 31.0
Anthony, 31.5
Chuck Grassley, 31.5
Dolly Parton, 33.0
Beal, 33.5
Hayward, 34.5
Celtics, 35.0
Queiroz, 36.0
Wizards, 37.0
Stories, 37.0
John Collins, 38.0
Kemba, 38.0
Pennsylvania Supreme Court, 39.0
Colombia, 39.0
Cienfuegos, 40.0
So Twitter, 41.0
Canelo, 42.0
PA Supreme Court, 42.0
Tatum, 43.0
William Hartmann, 43.0
Dolly, 44.0
DAZN, 45.0
Taco Tuesday, 46.0
CISA, 46.0
Kevin Hart, 46.0
Hackett, 47.0
Afghanistan, 48.0
Charlie Brown, 48.0
Move to Canada, 50.0
